27/06/12 18:16
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	
Total :                    	   11196	48039	                   256383	                   292581	
Restants :                 	     574	 3262	                    17251	                    19901	
Segments uniques :         	    8127	39319	                   210253	                   240923	
Segments uniques restants :	     564	 3233	                    17112	                    19743	


Statistiques par fichiers :

Nom du fichier               	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
00-adminhtml-translate.csv.po	           210	                0	             210	                        0	       585	            0	         585	                    0	                           3098	                                 0	                             3098	                                         0	                           3468	                                 0	                             3468	                                         0	
00-frontend-translate.csv.po 	             1	                0	               1	                        0	        15	            0	          15	                    0	                             58	                                 0	                               58	                                         0	                             72	                                 0	                               72	                                         0	
Find_Feed.csv.po             	            45	                0	              41	                        0	       136	            0	         127	                    0	                            689	                                 0	                              646	                                         0	                            775	                                 0	                              727	                                         0	
Mage_Adminhtml.csv.po        	          1416	                0	            1330	                        0	      5767	            0	        5543	                    0	                          30950	                                 0	                            29731	                                         0	                          35161	                                 0	                            33811	                                         0	
Mage_AdminNotification.csv.po	            31	                0	              21	                        0	       109	            0	          95	                    0	                            554	                                 0	                              471	                                         0	                            630	                                 0	                              543	                                         0	
Mage_Api.csv.po              	           456	                0	              17	                        0	      1918	            0	          69	                    0	                          10007	                                 0	                              403	                                         0	                          11402	                                 0	                              454	                                         0	
Mage_Api2.csv.po             	           235	                0	             180	                        0	       812	            0	         730	                    0	                           4194	                                 0	                             3776	                                         0	                           4772	                                 0	                             4327	                                         0	
Mage_Authorizenet.csv.po     	            40	                0	              31	                        0	       147	            0	         127	                    0	                            857	                                 0	                              743	                                         0	                            964	                                 0	                              839	                                         0	
Mage_Backup.csv.po           	            52	                0	              43	                        0	       286	            0	         265	                    0	                           1506	                                 0	                             1393	                                         0	                           1738	                                 0	                             1613	                                         0	
Mage_Bundle.csv.po           	            57	                0	              37	                        0	       151	            0	         119	                    0	                            794	                                 0	                              622	                                         0	                            886	                                 0	                              702	                                         0	
Mage_Captcha.csv.po          	            22	                0	              19	                        0	       135	            0	         119	                    0	                            713	                                 0	                              617	                                         0	                            821	                                 0	                              714	                                         0	
Mage_Catalog.csv.po          	           880	               58	             737	                       58	      3905	          309	        3566	                  309	                          20763	                              1644	                            19002	                                      1644	                          23714	                              1894	                            21761	                                      1894	
Mage_CatalogInventory.csv.po 	            59	                0	              45	                        0	       328	            0	         279	                    0	                           1630	                                 0	                             1374	                                         0	                           1897	                                 0	                             1606	                                         0	
Mage_CatalogRule.csv.po      	            69	                1	              45	                        1	       237	            4	         201	                    4	                           1197	                                27	                              962	                                        27	                           1365	                                30	                             1118	                                        30	
Mage_CatalogSearch.csv.po    	            50	                2	              40	                        2	       220	           26	         206	                   26	                           1134	                               106	                             1078	                                       106	                           1297	                               128	                             1237	                                       128	
